INCIDENT_DATETIME,INCIDENT_RESPONSE_SECONDS_QY,DISPATCH_RESPONSE_SECONDS_QY,TRAVEL_TIME_SECONDS_QY,ENGINES_ASSIGNED_QUANTITY,LADDERS_ASSIGNED_QUANTITY,INCIDENT_CLASSIFICATION_GROUP,PROPERTY_USE_DESCRIPTION,BOROUGH,ZIPCODE,CITY_COUNCIL_DIST,LATITUDE,LONGITUDE,YEAR,MONTH,DAY_OF_WEEK,HOUR
2016-11-25 11:06:00,875,281,305,2,0,ELECTRICAL FIRE,Residential - Multifamily,BROOKLYN,11205,1,40.846491,-74.182625,2016,11,Tue,11
2023-11-17 01:54:00,804,236,329,3,0,CAR FIRE,Residential - Single Family,QUEENS,11201,5,40.517099,-74.154372,2023,11,Wed,1
2015-04-02 11:14:00,1234,695,386,2,0,STRUCTURAL FIRE,Transportation,QUEENS,10302,32,40.520884,-74.102425,2015,4,Sun,11
2015-09-23 09:36:00,1068,149,883,2,1,NONSTRUCTURAL FIRE,Transportation,QUEENS,10302,10,40.897257,-74.148624,2015,9,Wed,9
2018-04-25 08:01:00,903,284,535,2,3,CAR FIRE,Storage,QUEENS,10031,11,40.760738,-73.890796,2018,4,Tue,8
2019-03-03 18:35:00,773,218,305,2,3,MAJOR FIRE,Assembly,BRONX,10001,3,40.783754,-73.971461,2019,3,Sun,18
2024-11-20 04:23:00,1049,433,336,3,2,UNUSUAL INCIDENT,Industrial,MANHATTAN,10031,39,40.903803,-73.863299,2024,11,Fri,4
2024-09-26 21:33:00,956,281,473,2,1,APPLIANCE FIRE,Residential - Single Family,BRONX,10301,3,40.814617,-74.119455,2024,9,Sun,21
2022-04-05 10:35:00,873,530,315,4,1,GARBAGE FIRE,Industrial,MANHATTAN,10452,14,40.808333,-74.216854,2022,4,Fri,10
2017-12-04 08:29:00,616,279,293,2,1,NONSTRUCTURAL FIRE,Commercial - Office,QUEENS,10001,38,40.889475,-73.778913,2017,12,Sat,8
2024-07-18 05:54:00,727,325,269,4,2,UNUSUAL INCIDENT,Storage,BRONX,10301,10,40.551571,-73.878817,2024,7,Wed,5
2018-11-01 08:14:00,1417,298,865,3,3,OUTSIDE FIRE,Storage,STATEN ISLAND,10301,10,40.891992,-73.754865,2018,11,Wed,8
2021-08-10 13:13:00,606,206,204,4,0,STRUCTURAL FIRE,Industrial,BRONX,10031,16,40.696347,-74.111246,2021,8,Sun,13
2019-08-21 02:02:00,1054,231,541,3,1,GARBAGE FIRE,Assembly,QUEENS,10302,43,40.626104,-73.938714,2019,8,Fri,2
2021-02-03 05:53:00,843,286,512,3,0,UNUSUAL INCIDENT,Commercial - Office,BROOKLYN,10302,14,40.615677,-74.022114,2021,2,Fri,5
2018-03-11 10:11:00,738,137,549,2,1,GARBAGE FIRE,Residential - Multifamily,BROOKLYN,11201,46,40.580848,-73.934644,2018,3,Thu,10
2019-09-23 17:11:00,897,282,488,5,2,CAR FIRE,Assembly,MANHATTAN,10452,24,40.901125,-74.161739,2019,9,Sun,17
2015-04-03 14:13:00,786,176,457,1,0,STRUCTURAL FIRE,Assembly,QUEENS,11201,1,40.518817,-73.831972,2015,4,Thu,14
2022-01-24 16:35:00,626,141,482,2,1,GARBAGE FIRE,Healthcare,BROOKLYN,11201,42,40.705195,-74.226331,2022,1,Wed,16
2023-11-26 00:40:00,834,280,324,2,0,MAJOR FIRE,Storage,BROOKLYN,11205,6,40.741745,-73.840962,2023,11,Sun,0
2017-04-24 13:25:00,472,240,191,4,0,UTILITY EMERGENCY,Assembly,BROOKLYN,10452,8,40.622561,-73.927728,2017,4,Fri,13
2018-02-01 22:01:00,727,146,546,2,0,NONSTRUCTURAL FIRE,Transportation,BROOKLYN,10302,4,40.620183,-74.154082,2018,2,Tue,22
2015-06-13 14:27:00,600,142,371,2,2,UNUSUAL INCIDENT,Transportation,MANHATTAN,10451,38,40.706348,-74.23385,2015,6,Mon,14
2019-12-16 10:04:00,558,199,256,2,1,NONSTRUCTURAL FIRE,Educational,MANHATTAN,11205,3,40.819757,-73.838153,2019,12,Mon,10
2020-11-20 22:23:00,759,290,380,4,0,GARBAGE FIRE,Storage,BROOKLYN,10302,45,40.616239,-74.172774,2020,11,Fri,22
2020-08-08 13:47:00,715,266,419,1,2,MAJOR FIRE,Healthcare,QUEENS,10001,36,40.688918,-74.23079,2020,8,Fri,13
2023-08-21 00:50:00,807,285,374,4,1,APPLIANCE FIRE,Educational,BRONX,10452,3,40.54603,-74.034622,2023,8,Wed,0
2019-03-12 11:26:00,847,223,589,1,1,UTILITY EMERGENCY,Educational,QUEENS,10451,12,40.508733,-74.086507,2019,3,Tue,11
2021-09-13 06:46:00,1321,284,867,1,1,OUTSIDE FIRE,Healthcare,BROOKLYN,10001,43,40.534679,-73.923595,2021,9,Wed,6
2015-07-10 14:31:00,669,299,171,1,0,APPLIANCE FIRE,Residential - Single Family,MANHATTAN,10451,46,40.759237,-74.027603,2015,7,Sat,14
2023-03-10 08:54:00,1282,699,462,2,2,APPLIANCE FIRE,Industrial,QUEENS,10451,20,40.533307,-73.861067,2023,3,Tue,8
2021-10-05 04:18:00,840,358,372,1,0,UNUSUAL INCIDENT,Commercial - Office,QUEENS,10451,24,40.842016,-74.048324,2021,10,Sat,4
2023-01-21 02:36:00,1013,352,379,2,1,UNUSUAL INCIDENT,Storage,BRONX,10031,2,40.597473,-73.754147,2023,1,Wed,2
2022-07-27 12:21:00,1120,440,395,1,0,GARBAGE FIRE,Commercial - Office,BROOKLYN,11201,41,40.683784,-73.819482,2022,7,Sun,12
2021-10-16 14:28:00,753,265,476,3,0,NONSTRUCTURAL FIRE,Assembly,MANHATTAN,10001,7,40.771714,-73.921905,2021,10,Fri,14
2015-05-14 05:07:00,733,317,330,3,0,GARBAGE FIRE,Storage,BROOKLYN,10451,39,40.760696,-74.084983,2015,5,Fri,5
2022-06-05 01:11:00,545,260,263,1,3,UNUSUAL INCIDENT,Commercial - Mercantile,BROOKLYN,10301,10,40.773235,-73.755524,2022,6,Wed,1
2016-09-13 11:43:00,646,322,181,1,1,APPLIANCE FIRE,Educational,BRONX,10301,14,40.866812,-73.863322,2016,9,Sat,11
2018-04-06 02:28:00,800,276,352,1,3,OUTSIDE FIRE,Residential - Single Family,BRONX,11205,29,40.593456,-73.817274,2018,4,Sat,2
2019-12-08 21:08:00,746,109,434,4,1,NONSTRUCTURAL FIRE,Storage,QUEENS,10452,20,40.589506,-73.795882,2019,12,Wed,21
2017-03-03 03:51:00,586,239,306,2,0,ELECTRICAL FIRE,Residential - Single Family,BRONX,10001,27,40.704432,-74.041788,2017,3,Thu,3
2015-02-13 05:56:00,951,430,447,1,1,UTILITY EMERGENCY,Storage,MANHATTAN,10452,30,40.835265,-74.023382,2015,2,Sun,5
2017-07-11 17:51:00,792,276,464,3,3,UTILITY EMERGENCY,Commercial - Mercantile,BROOKLYN,10002,12,40.743537,-74.088572,2017,7,Mon,17
2023-11-13 10:12:00,830,545,194,3,0,MAJOR FIRE,Residential - Multifamily,BRONX,10301,28,40.518428,-74.207403,2023,11,Thu,10
2016-05-03 15:50:00,836,508,250,1,1,STRUCTURAL FIRE,Storage,BROOKLYN,10031,35,40.594726,-73.828834,2016,5,Thu,15
2023-09-16 18:27:00,1143,419,463,1,1,UTILITY EMERGENCY,Healthcare,BRONX,11201,39,40.888432,-74.215828,2023,9,Tue,18
2015-10-10 03:43:00,638,209,334,1,1,UNUSUAL INCIDENT,Residential - Single Family,MANHATTAN,11201,21,40.808641,-74.197208,2015,10,Sun,3
2024-04-12 22:06:00,960,373,397,1,0,UTILITY EMERGENCY,Assembly,MANHATTAN,11205,25,40.723534,-73.749122,2024,4,Sat,22
2018-10-04 15:20:00,1010,481,333,1,2,OUTSIDE FIRE,Commercial - Mercantile,BRONX,10451,8,40.696078,-74.045912,2018,10,Tue,15
2018-07-19 10:23:00,453,192,234,2,1,APPLIANCE FIRE,Healthcare,MANHATTAN,10031,47,40.868196,-73.705849,2018,7,Sat,10
2021-10-14 16:14:00,753,165,340,2,1,ELECTRICAL FIRE,Residential - Multifamily,MANHATTAN,10002,51,40.708543,-73.869169,2021,10,Tue,16
2015-09-18 05:28:00,705,359,346,1,1,GARBAGE FIRE,Commercial - Office,MANHATTAN,11205,10,40.588338,-73.88569,2015,9,Tue,5
2024-08-07 09:28:00,925,530,331,2,1,GARBAGE FIRE,Commercial - Office,BRONX,10002,40,40.506952,-73.747121,2024,8,Fri,9
2019-04-05 05:30:00,670,215,192,3,3,ELECTRICAL FIRE,Industrial,BROOKLYN,10002,20,40.725928,-74.001888,2019,4,Sun,5
2020-06-08 18:36:00,814,318,374,1,2,NONSTRUCTURAL FIRE,Storage,QUEENS,11368,9,40.644563,-74.124269,2020,6,Sat,18
2015-05-10 06:09:00,883,362,489,3,0,APPLIANCE FIRE,Residential - Single Family,BROOKLYN,10302,21,40.69259,-73.899489,2015,5,Mon,6
2022-10-27 21:07:00,762,166,323,2,1,STRUCTURAL FIRE,Commercial - Mercantile,QUEENS,10031,5,40.797764,-74.143254,2022,10,Tue,21
2020-10-18 21:08:00,1012,330,622,1,0,UTILITY EMERGENCY,Commercial - Office,BROOKLYN,10451,4,40.853922,-73.751049,2020,10,Fri,21
2023-08-13 02:59:00,734,221,300,2,0,UTILITY EMERGENCY,Industrial,STATEN ISLAND,11368,5,40.575148,-73.976835,2023,8,Thu,2
2019-05-28 14:04:00,773,417,286,1,2,APPLIANCE FIRE,Commercial - Mercantile,BRONX,10002,40,40.725615,-73.917593,2019,5,Mon,14
2018-03-20 01:18:00,626,352,127,1,3,UNUSUAL INCIDENT,Assembly,BRONX,10002,40,40.58393,-73.914395,2018,3,Fri,1
2015-01-10 15:07:00,528,188,208,4,0,CAR FIRE,Commercial - Office,BROOKLYN,11368,25,40.549364,-74.012879,2015,1,Thu,15
2016-11-18 22:23:00,970,278,597,2,0,GARBAGE FIRE,Commercial - Office,MANHATTAN,10301,13,40.874202,-73.914997,2016,11,Thu,22
2024-08-06 15:00:00,892,431,398,6,0,ELECTRICAL FIRE,Commercial - Office,BROOKLYN,10001,50,40.660082,-74.115166,2024,8,Sun,15
2022-10-14 07:13:00,1092,426,380,2,0,STRUCTURAL FIRE,Healthcare,BROOKLYN,10452,31,40.65014,-73.782503,2022,10,Fri,7
2018-06-09 20:21:00,1215,409,550,2,3,GARBAGE FIRE,Residential - Multifamily,STATEN ISLAND,10001,27,40.800009,-73.927522,2018,6,Fri,20
2017-06-04 00:52:00,1216,305,690,6,1,APPLIANCE FIRE,Educational,MANHATTAN,10451,13,40.675423,-73.853934,2017,6,Sat,0
2021-08-10 08:05:00,811,223,450,2,1,NONSTRUCTURAL FIRE,Residential - Multifamily,STATEN ISLAND,10031,26,40.536879,-74.030062,2021,8,Fri,8
2017-12-07 04:24:00,1106,336,664,2,0,UNUSUAL INCIDENT,Transportation,BRONX,10452,10,40.892556,-73.779409,2017,12,Fri,4
2021-03-24 20:33:00,935,101,573,1,4,UNUSUAL INCIDENT,Assembly,MANHATTAN,10031,12,40.805184,-73.774954,2021,3,Fri,20
2019-10-03 16:03:00,688,322,320,1,3,CAR FIRE,Educational,BRONX,10451,36,40.661292,-73.94133,2019,10,Sat,16
2022-05-22 13:17:00,1007,448,349,2,0,NONSTRUCTURAL FIRE,Commercial - Office,BRONX,11368,16,40.706401,-74.192727,2022,5,Sat,13
2020-11-10 20:46:00,1144,459,524,5,0,MAJOR FIRE,Healthcare,BROOKLYN,10302,15,40.583572,-73.946075,2020,11,Tue,20
2017-09-18 01:59:00,695,198,434,3,2,NONSTRUCTURAL FIRE,Industrial,BROOKLYN,11205,39,40.83895,-74.011285,2017,9,Wed,1
2017-11-23 19:03:00,604,270,255,1,0,CAR FIRE,Healthcare,BROOKLYN,10031,6,40.564363,-73.944501,2017,11,Sat,19
2024-06-25 06:52:00,878,364,406,2,1,ELECTRICAL FIRE,Commercial - Mercantile,BRONX,10002,24,40.845956,-73.992987,2024,6,Tue,6
2022-02-27 23:16:00,568,112,425,4,2,CAR FIRE,Commercial - Office,BROOKLYN,11201,21,40.762411,-73.838142,2022,2,Sun,23
2019-09-25 20:28:00,965,278,431,3,1,UTILITY EMERGENCY,Transportation,QUEENS,10002,9,40.843836,-73.820994,2019,9,Wed,20
2023-11-03 06:40:00,877,299,341,2,0,OUTSIDE FIRE,Healthcare,BROOKLYN,10452,44,40.565414,-74.178337,2023,11,Sat,6
2024-05-24 22:40:00,838,249,420,3,0,APPLIANCE FIRE,Residential - Multifamily,BRONX,10031,22,40.736446,-73.900517,2024,5,Wed,22
2017-03-12 06:25:00,894,513,161,1,1,MAJOR FIRE,Educational,BRONX,11205,31,40.897436,-74.152163,2017,3,Sat,6
2024-06-15 05:05:00,770,188,541,1,0,NONSTRUCTURAL FIRE,Storage,QUEENS,10301,39,40.901872,-74.142916,2024,6,Sat,5
2016-07-04 06:27:00,1418,417,715,2,1,MAJOR FIRE,Commercial - Office,BRONX,10452,31,40.504819,-74.219167,2016,7,Wed,6
2022-09-21 05:54:00,692,408,250,1,0,MAJOR FIRE,Residential - Single Family,QUEENS,10451,12,40.642951,-73.976045,2022,9,Tue,5
2015-11-22 16:34:00,806,287,327,1,3,GARBAGE FIRE,Transportation,BROOKLYN,11205,45,40.86122,-73.97436,2015,11,Fri,16
2015-06-19 09:20:00,613,180,268,4,0,GARBAGE FIRE,Residential - Single Family,BROOKLYN,10031,11,40.874762,-73.931841,2015,6,Sat,9
2021-08-10 17:47:00,478,118,340,1,1,UTILITY EMERGENCY,Educational,QUEENS,10001,4,40.545115,-74.142112,2021,8,Mon,17
2019-07-28 18:02:00,423,157,205,1,0,CAR FIRE,Educational,BRONX,11201,45,40.537709,-73.831315,2019,7,Tue,18
2020-02-20 05:33:00,686,318,333,1,1,OUTSIDE FIRE,Transportation,MANHATTAN,10031,47,40.619033,-74.139155,2020,2,Fri,5
2015-12-12 11:31:00,1120,397,543,3,2,MAJOR FIRE,Healthcare,MANHATTAN,10452,3,40.780275,-73.875993,2015,12,Sun,11
2023-08-02 20:09:00,1039,410,382,2,1,APPLIANCE FIRE,Storage,BRONX,10002,36,40.753655,-74.027594,2023,8,Sat,20
2019-07-23 05:46:00,642,334,186,2,2,NONSTRUCTURAL FIRE,Residential - Single Family,BROOKLYN,11368,48,40.894448,-74.18175,2019,7,Mon,5
2020-06-27 19:27:00,566,134,386,3,1,UNUSUAL INCIDENT,Residential - Single Family,STATEN ISLAND,10451,41,40.889536,-73.862587,2020,6,Wed,19
2020-03-21 11:00:00,850,357,258,2,1,OUTSIDE FIRE,Industrial,MANHATTAN,10302,46,40.515936,-74.190289,2020,3,Sat,11
2023-02-26 04:11:00,983,515,298,2,2,MAJOR FIRE,Storage,BRONX,10301,23,40.611914,-74.113417,2023,2,Sun,4
2015-05-16 04:41:00,710,274,248,2,0,MAJOR FIRE,Industrial,BROOKLYN,10031,2,40.737926,-74.174039,2015,5,Tue,4
2019-11-19 21:25:00,1111,226,636,1,1,UTILITY EMERGENCY,Transportation,STATEN ISLAND,10031,36,40.664092,-74.013402,2019,11,Mon,21
2016-10-28 00:51:00,1074,305,722,1,1,NONSTRUCTURAL FIRE,Assembly,BRONX,10451,1,40.895884,-73.830436,2016,10,Wed,0
2017-10-03 01:52:00,778,307,367,4,1,GARBAGE FIRE,Commercial - Mercantile,BRONX,10002,50,40.831024,-74.04702,2017,10,Mon,1
2015-01-11 11:42:00,666,240,312,3,0,STRUCTURAL FIRE,Healthcare,BRONX,10302,6,40.657749,-74.083757,2015,1,Thu,11
2019-11-07 18:01:00,885,368,289,3,0,STRUCTURAL FIRE,Commercial - Mercantile,QUEENS,10301,32,40.800571,-73.957111,2019,11,Fri,18
2018-12-19 02:20:00,1227,679,445,1,3,OUTSIDE FIRE,Healthcare,QUEENS,10301,40,40.546138,-73.945654,2018,12,Fri,2
2017-10-16 10:06:00,787,398,341,2,1,NONSTRUCTURAL FIRE,Industrial,BROOKLYN,10452,37,40.782179,-73.741035,2017,10,Thu,10
2023-01-10 08:31:00,865,337,232,1,0,OUTSIDE FIRE,Storage,STATEN ISLAND,10031,46,40.908019,-74.144975,2023,1,Sat,8
2021-04-04 10:21:00,790,168,542,2,2,APPLIANCE FIRE,Commercial - Office,BROOKLYN,11368,9,40.877256,-74.025309,2021,4,Sun,10
2021-03-10 10:08:00,1095,479,512,4,1,NONSTRUCTURAL FIRE,Residential - Single Family,BRONX,11368,18,40.580531,-74.167046,2021,3,Mon,10
2024-01-05 05:57:00,754,204,422,1,0,OUTSIDE FIRE,Commercial - Mercantile,MANHATTAN,10002,29,40.836276,-74.147376,2024,1,Wed,5
2021-02-13 16:45:00,732,200,338,4,0,APPLIANCE FIRE,Industrial,QUEENS,10001,1,40.884319,-74.1408,2021,2,Fri,16
2019-12-09 23:25:00,748,328,364,1,4,OUTSIDE FIRE,Commercial - Office,BROOKLYN,10451,48,40.56137,-73.996578,2019,12,Fri,23
2023-02-28 12:53:00,1103,212,641,2,0,APPLIANCE FIRE,Industrial,BROOKLYN,10002,9,40.588905,-73.789549,2023,2,Fri,12
2019-12-20 20:05:00,1501,416,974,2,2,OUTSIDE FIRE,Assembly,QUEENS,11368,10,40.832859,-73.714697,2019,12,Tue,20
2016-05-07 13:39:00,760,187,484,2,2,MAJOR FIRE,Residential - Single Family,MANHATTAN,10452,30,40.818005,-73.732504,2016,5,Thu,13
2017-05-02 05:24:00,647,255,204,3,0,MAJOR FIRE,Residential - Multifamily,BROOKLYN,10301,16,40.62388,-73.930482,2017,5,Tue,5
2023-01-19 09:46:00,982,459,334,2,2,APPLIANCE FIRE,Industrial,QUEENS,11205,32,40.605897,-73.777158,2023,1,Mon,9
2015-12-10 16:19:00,791,487,186,1,0,CAR FIRE,Commercial - Office,BRONX,10031,15,40.606215,-73.96986,2015,12,Mon,16
2022-12-23 05:05:00,848,308,389,2,1,GARBAGE FIRE,Residential - Single Family,MANHATTAN,10452,39,40.568473,-73.924994,2022,12,Wed,5
2018-08-20 07:26:00,929,507,405,2,1,UNUSUAL INCIDENT,Residential - Multifamily,BROOKLYN,10452,47,40.593221,-74.02977,2018,8,Mon,7
2020-01-24 19:05:00,580,207,207,3,1,NONSTRUCTURAL FIRE,Commercial - Office,MANHATTAN,10451,51,40.586089,-74.235423,2020,1,Sat,19
2017-05-08 13:55:00,405,164,205,2,0,APPLIANCE FIRE,Residential - Multifamily,QUEENS,10452,8,40.887109,-73.839676,2017,5,Fri,13
2018-11-03 14:12:00,923,189,691,1,1,APPLIANCE FIRE,Residential - Multifamily,QUEENS,10301,20,40.594966,-73.926555,2018,11,Fri,14
2017-07-27 18:41:00,1025,207,598,1,1,GARBAGE FIRE,Healthcare,MANHATTAN,10452,20,40.82517,-73.760651,2017,7,Fri,18
2019-03-25 23:51:00,952,166,537,3,1,APPLIANCE FIRE,Commercial - Office,QUEENS,10302,36,40.682116,-74.209875,2019,3,Fri,23
2023-06-14 01:29:00,861,195,479,2,0,UNUSUAL INCIDENT,Commercial - Mercantile,STATEN ISLAND,11205,3,40.762072,-74.133106,2023,6,Sat,1
2024-08-23 17:28:00,982,244,523,2,0,UTILITY EMERGENCY,Residential - Multifamily,BRONX,10301,22,40.518629,-73.788217,2024,8,Sat,17
2021-05-08 03:46:00,555,225,284,2,0,ELECTRICAL FIRE,Assembly,BRONX,10452,2,40.779157,-73.704511,2021,5,Sat,3
2015-10-10 04:38:00,1039,220,614,4,0,APPLIANCE FIRE,Commercial - Mercantile,BRONX,10001,1,40.702383,-73.744168,2015,10,Sat,4
2018-11-17 16:01:00,1496,822,549,3,2,OUTSIDE FIRE,Assembly,QUEENS,11368,17,40.595821,-73.781547,2018,11,Sun,16
2023-08-18 11:08:00,992,271,486,2,2,UTILITY EMERGENCY,Residential - Single Family,BRONX,10031,49,40.527965,-73.712948,2023,8,Sat,11
2018-02-18 09:06:00,610,98,359,1,3,STRUCTURAL FIRE,Storage,QUEENS,10301,37,40.511303,-74.147904,2018,2,Sun,9
2018-07-16 15:31:00,594,170,259,1,1,CAR FIRE,Storage,BROOKLYN,10031,36,40.894774,-73.908933,2018,7,Fri,15
2022-05-20 04:32:00,655,291,360,4,0,OUTSIDE FIRE,Storage,MANHATTAN,10302,48,40.900139,-73.84176,2022,5,Fri,4
2024-04-16 20:24:00,642,330,245,4,1,GARBAGE FIRE,Commercial - Mercantile,BROOKLYN,10031,24,40.66303,-74.04685,2024,4,Wed,20
2017-04-04 00:47:00,938,223,661,2,4,OUTSIDE FIRE,Residential - Multifamily,MANHATTAN,10031,22,40.683153,-73.981877,2017,4,Sat,0
2021-10-18 12:53:00,683,251,386,2,0,APPLIANCE FIRE,Residential - Multifamily,MANHATTAN,10302,17,40.64896,-74.209774,2021,10,Fri,12
2020-09-05 03:38:00,1095,315,643,4,0,UTILITY EMERGENCY,Transportation,QUEENS,11205,26,40.71228,-74.039848,2020,9,Tue,3
2019-11-24 09:53:00,904,382,312,1,0,MAJOR FIRE,Residential - Multifamily,BROOKLYN,10002,27,40.879141,-73.720169,2019,11,Fri,9
2019-07-02 00:46:00,694,304,359,2,1,STRUCTURAL FIRE,Residential - Multifamily,BRONX,10002,2,40.853671,-74.071451,2019,7,Thu,0
2024-06-05 14:23:00,990,372,563,1,1,OUTSIDE FIRE,Educational,BROOKLYN,10451,18,40.859304,-74.172784,2024,6,Sat,14
2015-06-23 11:21:00,780,147,344,4,0,UTILITY EMERGENCY,Commercial - Office,STATEN ISLAND,10001,1,40.66128,-73.753328,2015,6,Sun,11
2020-08-03 00:48:00,807,511,289,2,2,UNUSUAL INCIDENT,Industrial,MANHATTAN,11368,47,40.663651,-74.20925,2020,8,Sat,0
2020-11-12 14:36:00,721,194,463,2,1,NONSTRUCTURAL FIRE,Educational,BRONX,10451,29,40.707629,-74.142863,2020,11,Tue,14
2018-03-05 09:04:00,730,173,510,1,0,CAR FIRE,Educational,BRONX,10001,49,40.579677,-73.710768,2018,3,Wed,9
2024-04-18 16:18:00,653,175,322,3,2,GARBAGE FIRE,Industrial,BROOKLYN,10001,2,40.722227,-73.88067,2024,4,Sun,16
2021-05-23 02:14:00,1087,485,345,3,4,APPLIANCE FIRE,Healthcare,BRONX,11368,45,40.887249,-74.07514,2021,5,Fri,2
2018-05-11 12:26:00,550,269,281,1,1,APPLIANCE FIRE,Educational,MANHATTAN,10302,19,40.767466,-73.891407,2018,5,Wed,12
2017-11-17 11:16:00,1144,339,731,2,0,OUTSIDE FIRE,Storage,QUEENS,11201,39,40.747341,-73.839276,2017,11,Sat,11
2015-01-05 07:54:00,1050,289,536,1,0,ELECTRICAL FIRE,Commercial - Office,MANHATTAN,10002,15,40.548029,-74.113044,2015,1,Mon,7
2015-09-01 10:53:00,776,246,249,2,0,MAJOR FIRE,Residential - Single Family,BROOKLYN,10302,2,40.674827,-73.914959,2015,9,Sun,10
2022-05-17 11:00:00,802,276,416,2,4,MAJOR FIRE,Assembly,MANHATTAN,10302,31,40.89421,-73.842015,2022,5,Sat,11
2020-07-05 01:33:00,805,169,350,2,1,STRUCTURAL FIRE,Transportation,QUEENS,10451,3,40.591487,-74.226677,2020,7,Thu,1
2017-12-04 16:30:00,716,98,357,4,1,NONSTRUCTURAL FIRE,Transportation,BROOKLYN,11205,39,40.525618,-73.859852,2017,12,Tue,16
2017-08-16 15:43:00,562,87,440,3,1,NONSTRUCTURAL FIRE,Storage,MANHATTAN,11368,29,40.542987,-73.784106,2017,8,Sat,15
2024-03-07 07:49:00,1212,353,629,2,1,GARBAGE FIRE,Storage,QUEENS,10002,35,40.535738,-73.960737,2024,3,Thu,7
2016-10-01 22:53:00,1103,363,711,2,4,UNUSUAL INCIDENT,Commercial - Mercantile,STATEN ISLAND,11368,22,40.712544,-73.754189,2016,10,Fri,22
2020-12-04 12:19:00,1298,205,824,1,0,APPLIANCE FIRE,Industrial,MANHATTAN,11368,43,40.810333,-74.05572,2020,12,Wed,12
2021-07-11 03:17:00,840,224,566,3,1,GARBAGE FIRE,Commercial - Office,BROOKLYN,10001,5,40.603712,-73.720391,2021,7,Sat,3
2018-07-23 12:31:00,800,374,350,2,2,MAJOR FIRE,Residential - Single Family,BROOKLYN,10001,30,40.640538,-73.90891,2018,7,Sun,12
2021-09-26 21:16:00,1008,481,436,4,1,UTILITY EMERGENCY,Assembly,BROOKLYN,10451,32,40.733713,-73.894734,2021,9,Mon,21
2019-09-07 15:36:00,1248,197,1023,1,1,STRUCTURAL FIRE,Storage,MANHATTAN,10302,38,40.897741,-73.748435,2019,9,Mon,15
2015-05-09 12:46:00,551,227,213,1,1,GARBAGE FIRE,Transportation,BROOKLYN,11201,30,40.8342,-73.798226,2015,5,Sat,12
2015-08-14 17:43:00,581,139,316,4,2,GARBAGE FIRE,Commercial - Office,BROOKLYN,10002,48,40.775131,-73.741646,2015,8,Sun,17
2021-09-05 15:07:00,685,293,378,3,1,ELECTRICAL FIRE,Transportation,BROOKLYN,10002,30,40.58141,-73.751897,2021,9,Wed,15
2018-04-19 14:54:00,739,133,345,4,1,UTILITY EMERGENCY,Transportation,BROOKLYN,10031,20,40.798842,-73.990643,2018,4,Fri,14
2020-08-11 03:34:00,890,149,444,3,1,UTILITY EMERGENCY,Commercial - Mercantile,BRONX,10301,6,40.501745,-73.906827,2020,8,Sat,3
2024-02-15 05:27:00,1360,443,720,3,0,OUTSIDE FIRE,Industrial,BROOKLYN,11205,37,40.554709,-74.234964,2024,2,Sun,5
2022-05-17 09:18:00,1114,192,754,1,1,UTILITY EMERGENCY,Educational,QUEENS,10301,2,40.524209,-74.172733,2022,5,Sun,9
2022-01-23 04:42:00,391,194,175,1,0,UTILITY EMERGENCY,Industrial,BRONX,10002,25,40.677169,-73.893606,2022,1,Mon,4
2021-07-19 14:19:00,946,257,534,2,1,CAR FIRE,Commercial - Office,MANHATTAN,11201,21,40.730776,-74.026212,2021,7,Fri,14
2020-01-10 15:32:00,1427,410,734,4,0,GARBAGE FIRE,Commercial - Mercantile,STATEN ISLAND,10301,49,40.769594,-73.830266,2020,1,Thu,15
2018-06-08 15:48:00,730,196,346,2,1,STRUCTURAL FIRE,Industrial,QUEENS,10001,45,40.512155,-74.133161,2018,6,Wed,15
2022-02-23 23:07:00,886,232,490,4,1,MAJOR FIRE,Residential - Multifamily,BRONX,10002,29,40.761049,-73.986213,2022,2,Sat,23
2020-09-02 06:31:00,1080,183,767,1,1,UTILITY EMERGENCY,Assembly,BROOKLYN,10002,14,40.71623,-73.895273,2020,9,Mon,6
2018-03-27 18:34:00,1029,548,252,2,2,GARBAGE FIRE,Storage,BRONX,10302,1,40.680451,-73.933298,2018,3,Sat,18
2015-01-20 22:57:00,892,309,424,3,0,GARBAGE FIRE,Residential - Single Family,QUEENS,10452,20,40.892713,-74.064457,2015,1,Mon,22
2018-12-20 07:21:00,944,299,419,2,3,CAR FIRE,Healthcare,MANHATTAN,10451,25,40.624577,-74.097404,2018,12,Mon,7
2020-06-17 01:35:00,892,247,449,2,4,NONSTRUCTURAL FIRE,Healthcare,BROOKLYN,11201,1,40.533926,-74.244763,2020,6,Sun,1
2020-07-23 17:37:00,862,328,462,3,4,CAR FIRE,Storage,MANHATTAN,10452,15,40.726539,-74.029974,2020,7,Sun,17
2024-06-10 17:54:00,629,252,206,3,2,GARBAGE FIRE,Residential - Multifamily,BRONX,11205,17,40.779266,-74.253834,2024,6,Wed,17
2016-06-17 01:23:00,546,192,316,3,2,CAR FIRE,Storage,BRONX,10001,1,40.728186,-74.110262,2016,6,Thu,1
2023-12-21 02:33:00,1280,406,590,2,2,GARBAGE FIRE,Transportation,STATEN ISLAND,10002,47,40.689291,-73.765137,2023,12,Fri,2
